,Geography,Gender,Balance,CreditScore,Age,NumOfProducts,EstimatedSalary,Exited
58,Germany,Male,75888.2,6.586171655,3.218875825,0,45613.75,0
59,Spain,Female,0,6.23636959,4.094344562,0,1643.11,1
60,France,Male,40685.92,6.419994928,3.931825633,0,46775.28,0
61,Germany,Male,136857,6.609349243,3.555348061,0,84509.57,0
62,Germany,Female,152328.88,6.532334292,3.295836866,0.693147181,126494.82,0
63,Spain,Male,56084.69,6.318968114,3.496507561,0.693147181,178798.13,0
64,Spain,Male,78707.16,6.527957918,4.025351691,0,99398.36,0
65,Germany,Male,109166.37,6.401917197,3.258096538,0,92840.67,0
66,Germany,Female,169831.46,6.621405652,3.583518938,0.693147181,27758.36,0
67,Germany,Female,101633.04,6.364750757,3.526360525,0,110431.51,0
68,Germany,Male,123180.01,6.599870499,3.761200116,0.693147181,196673.28,0
69,Germany,Female,150725.53,6.49375384,3.555348061,0.693147181,113656.85,0
70,France,Female,98373.26,6.514712691,3.218875825,0,18203,0
71,Germany,Male,133745.44,6.603943825,4.060443011,0.693147181,28373.86,1
72,France,Male,0,6.69950034,3.36729583,0,33953.87,0
73,Spain,Female,163607.18,6.487684018,3.610917913,0,44203.55,0
74,Germany,Female,157780.84,6.403574198,3.218875825,0.693147181,58426.81,0
75,France,Male,0,6.251903883,3.583518938,0.693147181,145562.4,0
76,France,Female,178718.19,6.599870499,3.218875825,0.693147181,22388,0
77,France,Male,0,6.498282149,4.007333185,0.693147181,139161.64,0
78,France,Female,0,6.519147288,3.465735903,0,148210.64,0
79,Spain,Male,77253.22,6.629363253,3.496507561,0,194239.63,0
80,Germany,Female,122189.66,6.192362489,3.713572067,0.693147181,98301.61,0
81,France,Female,96645.54,6.499787041,3.526360525,0.693147181,171413.66,0
82,France,Female,0,6.65544035,3.465735903,0,136458.19,1
83,France,Female,0,6.29710932,3.583518938,0.693147181,26019.59,0
84,France,Female,90307.62,6.226536669,3.526360525,0,159235.29,0
85,France,Female,0,6.200509174,3.828641396,0.693147181,1907.66,0
86,Spain,Female,0,6.480044562,4.094344562,0.693147181,114675.75,0
87,Spain,Male,121681.82,6.620073207,3.218875825,0,128643.35,1
88,France,Male,0,6.591673732,3.401197382,0.693147181,151869.35,0
89,France,Female,0,6.470799504,3.828641396,0.693147181,93251.42,1
90,Germany,Female,81623.67,6.453624999,3.33220451,0.693147181,156791.36,0
91,Spain,Female,0,6.472346295,3.784189634,0.693147181,174205.22,1
92,France,Male,118626.55,6.694562059,3.80666249,0.693147181,147132.46,0
93,France,Female,0,6.261491684,3.583518938,0.693147181,109614.57,0
94,France,Male,0,6.64509097,3.36729583,0.693147181,172290.61,0
95,Spain,Male,0,6.593044534,3.737669618,0.693147181,85982.47,0
96,Spain,Male,176273.95,6.244166901,3.555348061,0,121277.78,0
97,Spain,Male,102827.44,6.650279049,3.713572067,0,64595.25,0
98,Germany,Male,97086.4,6.69950034,3.36729583,0.693147181,197276.13,0
99,Spain,Male,0,6.56526497,3.218875825,0.693147181,99645.04,0
100,France,Male,0,6.192362489,3.526360525,0.693147181,6534.18,0
101,France,Female,0,6.499787041,3.688879454,0,161848.03,0
102,France,Female,0,6.434546519,3.784189634,0.693147181,167162.43,0
103,France,Male,82674.15,6.603943825,3.433987204,0,41970.72,0
104,Spain,Male,0,6.269096284,3.583518938,0.693147181,60536.56,0
105,Spain,Female,0,6.507277712,4.094344562,0,177655.68,1
106,Spain,Female,107073.27,6.432940093,3.828641396,0.693147181,30984.59,1
107,Germany,Male,88938.62,6.366470448,3.465735903,0,10054.53,0
108,Germany,Female,99806.85,6.665683718,3.583518938,0,36976.52,0
109,Spain,Male,150092.8,6.405228458,3.496507561,0,71862.79,0
110,Germany,Male,92833.89,6.192362489,3.555348061,0,99449.86,1
111,Germany,Male,90536.81,6.529418838,3.401197382,0,63082.88,0
112,Germany,Male,108055.1,6.28785856,3.663561646,0.693147181,27231.26,0
113,France,Male,100238.35,6.33150185,3.737669618,0,86797.41,0
114,Spain,Male,106190.55,6.514712691,3.583518938,0,22994.32,0
115,Germany,Male,154475.54,6.580639137,3.33220451,0.693147181,101300.94,1
116,Germany,Female,132351.29,6.442540166,3.401197382,0.693147181,74169.13,0
117,Germany,Female,167864.4,6.504288174,3.610917913,0,115638.29,0
118,France,Female,0,6.226536669,3.713572067,0.693147181,31766.3,0
119,Germany,Female,107818.63,6.261491684,3.433987204,0,199725.39,1
120,Germany,Male,185173.81,6.549650742,3.526360525,0.693147181,120834.48,0
121,France,Male,129433.34,6.69950034,3.526360525,0.693147181,38131.77,0
122,Spain,Male,120193.42,6.513230111,3.663561646,0,100130.95,0
123,France,Female,0,6.486160789,3.663561646,0.693147181,141069.88,0
124,Germany,Female,126384.42,6.527957918,3.871201011,0,198129.36,0
125,France,Female,0,6.43775165,3.33220451,0,183646.41,0
126,France,Male,152603.45,6.192362489,3.737669618,0,110265.24,1
127,France,Female,0,6.308098442,3.951243719,0,8636.05,1
128,Germany,Male,148507.24,6.43775165,4.025351691,0,46824.08,1
129,France,Female,0,6.69950034,3.713572067,0.693147181,171378.77,0
130,France,Male,101827.07,6.646390515,3.218875825,0,167256.35,0
131,France,Female,0,6.630683386,3.526360525,0.693147181,124226.16,0
132,Germany,Female,130862.43,6.678342115,3.496507561,0,114935.21,0
133,France,Male,122570.87,6.532334292,3.63758616,0,35608.88,0
134,France,Male,0,6.530877628,3.218875825,0.693147181,16459.37,0
135,Germany,Male,124828.46,6.670766321,3.663561646,0.693147181,124411.08,0
136,Germany,Female,144895.05,6.378426184,3.912023005,0.693147181,34941.23,0
137,Germany,Female,63663.93,6.192362489,3.526360525,0,167784.28,0
138,France,Male,133463.1,6.456769656,3.688879454,0,93165.34,0
139,Spain,Female,213146.2,6.369900983,3.871201011,0,75161.25,1
140,Spain,Female,129490.36,6.361302478,3.555348061,0.693147181,8590.83,1
141,Germany,Male,137452.09,6.628041376,3.784189634,0,189543.9,0
142,France,Male,0,6.49677499,3.526360525,0.693147181,180427.24,0
143,France,Female,125851.93,6.525029658,3.761200116,0,193318.33,0
144,Spain,Male,0,6.675823222,3.951243719,0,159123.82,1
145,France,Female,40915.55,6.538139824,3.433987204,0,126213.84,1
146,Spain,Female,113157.22,6.192362489,3.218875825,0,54141.5,0
147,Spain,Female,138296.94,6.453624999,3.36729583,0.693147181,141075.51,0
148,France,Male,106967.18,6.476972363,3.610917913,0,24495.03,0
149,France,Male,120681.63,6.599870499,3.784189634,0,74836.34,0
150,France,Male,0,6.192362489,3.465735903,0.693147181,878.87,0
151,Spain,Female,0,6.625392368,3.465735903,0.693147181,89520.75,0
152,France,Female,0,6.282266747,3.871201011,0,149892.79,1
153,Spain,Male,0,6.573680167,3.737669618,0.693147181,180800.42,0
154,France,Male,127609.59,6.289715571,3.610917913,0,98646.22,0
155,France,Female,0,6.419994928,3.761200116,0.693147181,109041.53,0
156,Spain,Male,0,6.559615237,4.043051268,0,17941.16,1
157,France,Female,0,6.630683386,3.496507561,0.693147181,82996.47,0
158,Spain,Female,0,6.37331979,3.33220451,0.693147181,92067.35,0
159,France,Female,97259.25,6.470799504,4.094344562,0,104719.66,0
160,Germany,Female,123246.7,6.447305863,3.496507561,0,112687.57,0
161,Spain,Female,101060.25,6.575075841,3.218875825,0,84699.56,0
162,France,Male,0,6.527957918,3.401197382,0.693147181,83473.82,0
163,France,Female,108007.36,6.684611728,3.891820298,0,47125.11,0
164,Spain,Female,0,6.580639137,3.583518938,0.693147181,106977.8,0
165,Spain,Male,133702.89,6.52649486,3.36729583,0,55582.54,1
166,Germany,Male,125189.75,6.492239835,3.433987204,0.693147181,139874.43,0
167,Germany,Female,113034.22,6.556778356,3.218875825,0,162503.48,1
168,Spain,Female,109013.23,6.421622268,3.713572067,0,196499.96,0
169,Spain,Female,0,6.502790046,3.663561646,0.693147181,40721.24,1
170,Germany,Male,57929.81,6.525029658,3.218875825,0.693147181,53134.3,0
171,France,Female,130114.39,6.192362489,3.36729583,0,164017.89,0
172,Germany,Male,95826.49,6.442540166,3.295836866,0.693147181,155996.96,0
173,Germany,Male,129608.57,6.192362489,3.784189634,0,5472.7,1
174,France,Male,169462.09,6.359573869,3.401197382,0,112187.11,0
175,France,Male,0,6.238324625,3.688879454,0.693147181,146457.83,0
176,Spain,Female,133868.21,6.192362489,3.555348061,0,27286.1,0
177,France,Female,0,6.234410726,3.401197382,0.693147181,130553.47,0
178,Germany,Male,190479.48,6.406879986,3.583518938,0.693147181,179351.89,0
179,Spain,Female,101993.12,6.391917113,3.688879454,0,94774.12,0
180,Germany,Female,161608.81,6.625392368,4.007333185,0,8080.85,1
181,Spain,Female,122311.21,6.69950034,3.80666249,0,19482.5,0
182,France,Male,0,6.234410726,4.094344562,0.693147181,48071.61,0
183,Germany,Female,162150.42,6.656726524,3.80666249,0.693147181,174531.27,0
184,France,Male,0,6.455198563,3.737669618,0.693147181,55470.78,0
185,France,Female,0,6.689599269,3.912023005,0,8546.87,1
186,France,Male,0,6.242223265,3.465735903,0.693147181,95857.18,0
187,France,Female,99010.67,6.593044534,3.663561646,0,194945.8,0
188,Spain,Female,0,6.263398263,3.610917913,0,131521.72,0
189,Spain,Male,0,6.423246964,3.401197382,0.693147181,196108.51,0
190,Germany,Female,111388.18,6.532334292,3.526360525,0.693147181,148564.76,0
191,France,Female,56214.85,6.572282543,3.713572067,0.693147181,92982.61,1
192,France,Female,84327.77,6.238324625,3.583518938,0.693147181,17675.36,0
193,France,Male,0,6.192362489,3.688879454,0.693147181,114996.43,0
194,France,Male,93012.89,6.398594935,3.465735903,0,86957.42,0
195,Spain,Male,61710.44,6.363028104,3.36729583,0.693147181,128077.8,0
196,France,Male,174790.15,6.693323668,3.555348061,0,600.36,0
197,Spain,Female,0,6.423246964,3.465735903,0.693147181,43001.46,0
198,Germany,Male,107720.64,6.580639137,3.610917913,0,158591.12,0
199,France,Male,0,6.216606101,4.043051268,0.693147181,47847.19,0
200,France,Male,96423.84,6.255750042,3.555348061,0,10488.44,0
201,Spain,Male,141040.01,6.69950034,3.401197382,0,5978.2,0
202,France,Male,105420.18,6.632001777,3.737669618,0,121409.06,0
203,Spain,Male,0,6.246106765,3.912023005,0,146145.93,1
204,France,Female,129022.06,6.56667243,3.63758616,0.693147181,14374.86,1
205,Spain,Male,176666.62,6.238324625,3.496507561,0,94670.77,0
206,France,Male,0,6.309918278,3.610917913,0,179670.31,0
207,Spain,Female,89763.84,6.410174882,3.713572067,0,199304.74,1
208,France,Male,134954.53,6.426488457,3.526360525,0,151954.39,0
209,France,Male,0,6.466144724,3.80666249,0,142513.5,1
210,France,Male,106376.85,6.508769137,3.80666249,0,158264.62,0
211,Germany,Male,161814.64,6.535241271,3.496507561,0.693147181,169381.9,0
212,France,Male,0,6.401917197,3.433987204,0.693147181,169915.02,0
213,France,Female,0,6.429719478,3.713572067,0.693147181,88852.47,0
214,France,Female,63095.01,6.516193076,3.526360525,0,40645.81,0
215,Germany,Male,118287.01,6.349138991,3.258096538,0.693147181,60427.3,0
216,Germany,Male,106854.21,6.504288174,3.850147602,0,157959.02,1
217,France,Male,49512.55,6.543911846,3.828641396,0,133007.34,0
218,Spain,Female,0,6.593044534,3.496507561,0.693147181,176576.62,0
219,France,Male,105799.32,6.693323668,3.761200116,0.693147181,34888.04,1
220,France,Male,0,6.383506635,3.988984047,0,28737.71,1
221,France,Female,114722.05,6.587550015,3.433987204,0.693147181,98178.57,0
222,Spain,Male,0,6.242223265,3.401197382,0,125010.24,0
223,France,Male,0,6.340359304,3.737669618,0.693147181,167984.61,0
224,France,Male,0,6.69950034,3.496507561,0,4861.72,1
225,Germany,Male,99564.22,6.508769137,3.80666249,0,108872.45,1
226,France,Male,170557.91,6.507277712,3.610917913,0.693147181,198252.88,0
227,France,Female,0,6.542471961,3.401197382,0.693147181,26960.31,0
228,Germany,Female,74596.15,6.304448802,3.663561646,0.693147181,85746.52,1
229,Germany,Male,96888.39,6.621405652,3.912023005,0,77206.25,1
230,Germany,Female,130830.22,6.386879319,3.36729583,0,61048.53,0
231,France,Male,0,6.51174533,4.094344562,0.693147181,111981.19,0
232,France,Male,0,6.413458957,3.688879454,0.693147181,62232.6,0
233,France,Female,0,6.238324625,3.610917913,0.693147181,156105.03,0
234,Germany,Male,119714.25,6.642486801,3.218875825,0.693147181,150135.38,0
235,France,Female,113978.97,6.371611847,4.094344562,0.693147181,93146.11,0
236,Germany,Male,100160.75,6.637258031,3.737669618,0,33462.94,1
237,France,Female,0,6.568077911,3.36729583,0,144375,0
238,Germany,Female,116220.5,6.289715571,3.761200116,0.693147181,55803.96,1
239,France,Female,0,6.504288174,3.828641396,0.693147181,89048.46,1
240,France,Male,81173.83,6.555356892,3.33220451,0.693147181,162812.16,0
241,Spain,Male,0,6.495265556,3.63758616,0.693147181,136259.65,0
242,Germany,Female,116803.8,6.586171655,3.663561646,0,124052.97,0
243,France,Male,105961.68,6.555356892,3.610917913,0.693147181,74158.8,0
244,Germany,Male,117411.6,6.490723535,4.094344562,0,45071.09,1
245,Spain,Male,0,6.259581464,3.526360525,0.693147181,62030.06,0
246,France,Female,123497.58,6.453624999,3.688879454,0,131953.23,1
247,Germany,Male,152400.51,6.64898455,3.258096538,0.693147181,79414,0
248,France,Female,0,6.300785795,3.258096538,0.693147181,199638.56,0
249,Germany,Male,103097.85,6.452048954,3.218875825,0,157577.29,0
250,Germany,Male,126418.14,6.605297921,3.988984047,0,134420.75,1
251,Germany,Female,77846.9,6.647688374,3.583518938,0,99805.99,0
252,Spain,Female,0,6.37502482,3.526360525,0.693147181,97932.68,0
253,France,Female,0,6.523562306,4.094344562,0.693147181,170968.99,0
254,Germany,Male,79731.91,6.298949247,3.610917913,0,57558.95,0
255,Spain,Male,0,6.54534966,3.33220451,0,176713.47,0
256,Spain,Male,0,6.64118217,3.713572067,0.693147181,34283.23,0
257,France,Male,0,6.588926478,3.526360525,0.693147181,198637.34,0
258,Germany,Female,37266.67,6.508769137,3.526360525,0.693147181,156917.12,0
259,France,Female,127992.25,6.541029999,3.401197382,0,50457.2,0
260,Germany,Male,54901.01,6.69950034,3.63758616,0,140075.55,0
261,Germany,Male,108748.08,6.595780514,3.737669618,0.693147181,65323.11,0
262,Spain,Female,99906.19,6.587550015,3.871201011,0,64323.24,0
263,France,Female,184686.41,6.32256524,3.465735903,0.693147181,14956.44,0
264,France,Female,110654.02,6.525029658,3.258096538,0,111879.21,0
265,Spain,Male,79019.8,6.603943825,3.433987204,0,18606.23,0
266,Spain,Female,99240.51,6.274762021,3.583518938,0,123137.01,0
267,France,Male,0,6.210600077,3.526360525,0.693147181,148528.24,0
268,France,Male,0,6.478509642,3.583518938,0.693147181,13898.31,0
269,Spain,Female,0,6.308098442,3.663561646,0,81259.25,1
270,Germany,Female,52436.2,6.673297968,3.555348061,0,161051.75,0
271,Spain,Male,0,6.476972363,3.713572067,0.693147181,191599.67,0
272,Germany,Male,100337.96,6.597145702,3.526360525,0.693147181,48559.19,1
273,Germany,Female,149297.19,6.698268054,3.526360525,0.693147181,186339.74,0
274,France,Male,0,6.561030666,3.401197382,0.693147181,33159.37,0
275,Germany,Male,145605.44,6.568077911,3.33220451,0,93883.53,0
276,Spain,Female,0,6.559615237,3.610917913,0.693147181,110899.3,0
277,France,Male,0,6.628041376,4.094344562,0,11199.04,1
278,France,Female,0,6.65544035,3.970291914,0.693147181,189992.97,0
279,France,Male,84026.86,6.470799504,3.555348061,0,164255.69,0
280,France,Male,0,6.570882962,3.828641396,0,152167.79,1
281,France,Male,0,6.661854741,3.663561646,0.693147181,33949.67,0
282,Spain,Male,0,6.652863029,3.36729583,0.693147181,68143.93,0
283,Germany,Male,138718.92,6.192362489,3.555348061,0,47251.79,1
284,France,Male,118274.71,6.693323668,3.737669618,0,25885.72,0
285,France,Female,174185.98,6.683360946,3.218875825,0.693147181,192633.85,0
286,France,Male,113208.86,6.514712691,3.688879454,0.693147181,34577.36,0
287,Spain,Male,103907.28,6.400257445,3.36729583,0,161229.84,0
288,France,Female,119023.28,6.192362489,3.465735903,0,100816.29,0
289,Spain,Female,166297.89,6.612041035,3.258096538,0,181694.44,0
290,Spain,Male,0,6.376726948,3.526360525,0.693147181,79078.91,0
291,Germany,Male,63227,6.555356892,3.737669618,0,137316.32,0
292,Spain,Female,94521.17,6.616065185,3.713572067,0.693147181,194926.86,0
293,France,Male,0,6.368187186,3.295836866,0.693147181,51285.49,0
294,Spain,Female,112822.26,6.620073207,3.526360525,0,150401.53,1
295,France,Male,0,6.523562306,3.63758616,0.693147181,112491.96,0
296,France,Male,135903.33,6.650279049,3.218875825,0,73656.38,0
297,France,Female,125169.26,6.570882962,3.433987204,0,106636.89,0
298,Spain,Female,0,6.532334292,3.784189634,0.693147181,155853.52,1
299,France,Male,149117.31,6.23636959,4.060443011,0,162599.51,0
300,France,Male,0,6.440946541,3.496507561,0.693147181,103737.82,0
301,France,Female,0,6.542471961,3.433987204,0.693147181,160990.27,0
302,Spain,Female,132311.71,6.423246964,3.583518938,0,15462.84,0
303,France,Male,0,6.532334292,3.555348061,0.693147181,10334.05,0
304,France,Female,0,6.568077911,3.496507561,0.693147181,190686.16,0
305,France,Male,118082.89,6.315358002,3.496507561,0,94440.45,0
306,France,Male,119266.69,6.502790046,3.433987204,0,28257.63,0
307,France,Male,0,6.59441346,3.761200116,0,170034.95,1
308,Germany,Male,156847.29,6.444131257,3.555348061,0.693147181,31824.29,0
309,France,Male,137104.47,6.419994928,3.912023005,0,127166.49,1
310,Germany,Male,78398.69,6.192362489,3.433987204,0,44937.01,0
311,France,Female,0,6.480044562,4.094344562,0.693147181,188603.07,0
312,Germany,Male,63669.42,6.591673732,3.401197382,0,145111.37,0
313,France,Male,0,6.464588304,3.63758616,0.693147181,171463.83,0
314,Germany,Female,135296.33,6.692083743,4.077537444,0,182822.5,0
315,Spain,Male,153804.44,6.612041035,3.583518938,0,87213.33,0
316,Spain,Male,0,6.192362489,3.610917913,0.693147181,57175.32,0
317,France,Male,147069.78,6.326149473,3.891820298,0,120540.83,1
318,Spain,Male,0,6.559615237,3.737669618,0.693147181,28714.34,0
319,Spain,Female,0,6.442540166,3.218875825,0,85426.28,0
320,France,Male,95741.75,6.192362489,3.218875825,0,46170.75,0
321,Spain,Female,145965.33,6.263398263,4.043051268,0,64448.36,0
322,France,Female,141441.75,6.522092798,3.401197382,0,16278.97,0
323,France,Male,139290.41,6.618738984,3.688879454,0,182855.42,1
324,France,Female,0,6.637258031,3.433987204,0.693147181,50404.72,0
325,France,Male,0,6.598509029,3.401197382,0.693147181,107640.25,0
326,France,Male,144428.87,6.573680167,3.555348061,0,134132.65,0
327,France,Male,0,6.386879319,3.555348061,0.693147181,103480.69,0
328,France,Female,95441.27,6.467698726,3.828641396,0,108761.05,1
329,Germany,Male,144848.74,6.508769137,3.555348061,0,179012.3,0
330,Germany,Male,116244.14,6.498282149,3.258096538,0.693147181,95145.14,0
331,France,Male,0,6.486160789,3.912023005,0.693147181,72143.44,0
332,Spain,Female,146502.07,6.502790046,3.688879454,0,19162.89,0
333,Germany,Male,117028.6,6.49677499,3.784189634,0.693147181,144680.18,0
334,Germany,Female,112013.81,6.369900983,3.401197382,0,177772.03,1
335,Spain,Female,108269.37,6.439350371,3.610917913,0,5597.94,0
336,France,Male,182123.79,6.192362489,3.36729583,0,116828.51,1
337,Germany,Female,150923.74,6.490723535,3.465735903,0.693147181,174652.51,0
338,France,Male,0,6.475432717,3.496507561,0.693147181,2010.98,0
339,Spain,Female,165272.13,6.690842277,3.663561646,0,14109.85,1
340,Germany,Female,115301.31,6.573680167,3.663561646,0,43527.4,1
341,Germany,Female,129502.49,6.464588304,3.688879454,0.693147181,86099.23,1
342,France,Male,118342.26,6.490723535,3.433987204,0,161574.19,0
343,Spain,Female,0,6.300785795,3.850147602,0.693147181,38970.14,0
344,France,Male,0,6.29710932,3.218875825,0.693147181,127587.22,0
345,France,Female,0,6.576469569,3.218875825,0.693147181,30380.12,0
346,France,Female,0,6.69950034,3.761200116,0.693147181,90908.95,0
347,Germany,Female,106937.05,6.445719819,3.526360525,0.693147181,138275.01,0
348,Germany,Male,170331.37,6.466144724,4.077537444,0,32171.79,0
349,Germany,Female,114510.85,6.483107351,3.465735903,0,126143.23,0
350,France,Male,0,6.366470448,3.663561646,0.693147181,129892.93,0
351,Spain,Male,107594.11,6.490723535,3.465735903,0.693147181,102416.84,0
352,Spain,Male,81273.13,6.635946556,3.663561646,0,18719.67,0
353,Spain,Female,169399.6,6.342121419,3.465735903,0,61936.22,0
354,Spain,Male,0,6.507277712,3.218875825,0.693147181,78358.94,0
355,France,Female,187841.99,6.418364936,3.80666249,0.693147181,147224.27,0
356,France,Male,0,6.289715571,3.401197382,0.693147181,160979.66,0
357,Spain,Female,126776.3,6.69950034,4.043051268,0.693147181,132298.49,0
358,Spain,Male,126436.29,6.257667588,3.526360525,0,174248.52,1
359,France,Male,101960.74,6.602587892,3.713572067,0,123547.28,0
360,France,Male,0,6.253828812,4.060443011,0.693147181,32790.02,0
361,Spain,Male,0,6.559615237,3.33220451,0.693147181,181543.67,0
362,Germany,Female,150842.93,6.466144724,3.80666249,0,2319.96,1
363,France,Female,102535.57,6.473890696,3.912023005,0,189543.19,0
364,Germany,Female,99027.61,6.192362489,3.36729583,0.693147181,10940.4,0
365,France,Male,0,6.461468176,4.094344562,0.693147181,199493.38,0
366,Spain,Female,0,6.442540166,3.496507561,0,188193.25,0
367,Germany,Female,87271.41,6.29156914,3.737669618,0.693147181,172572.64,0
368,Germany,Female,102742.91,6.192362489,3.555348061,0.693147181,189339.6,0
369,Germany,Male,40105.51,6.455198563,3.526360525,0.693147181,53512.16,0
370,France,Female,152265.43,6.385194399,3.36729583,0,34004.44,0
371,Spain,Male,141947.67,6.685860947,3.737669618,0,10598.29,0
372,Germany,Female,106307.91,6.461468176,4.094344562,0.693147181,113428.77,0
373,Germany,Male,107884.81,6.415096959,3.433987204,0.693147181,183487.98,0
374,Germany,Male,125013.72,6.687108608,3.433987204,0,187658.09,0
375,Germany,Male,58469.37,6.575075841,3.555348061,0.693147181,172459.39,0
376,France,Female,0,6.64509097,3.663561646,0,21016,0
377,Germany,Male,117231.63,6.613384218,3.80666249,0.693147181,122381.02,1
378,Spain,Male,152390.26,6.349138991,3.555348061,0,128123.66,0
379,Spain,Female,34013.63,6.444131257,3.401197382,0,19570.63,0
380,Spain,Female,0,6.532334292,3.663561646,0.693147181,188150.6,1
381,France,Female,0,6.192362489,3.912023005,0.693147181,111020.24,0
382,France,Male,101583.11,6.536691598,3.583518938,0.693147181,123775.15,0
383,Germany,Female,77168.87,6.198478716,3.401197382,0.693147181,146700.22,0
384,Germany,Male,124695.72,6.563855527,3.33220451,0.693147181,145251.35,0
385,Germany,Male,105934.96,6.558197803,3.784189634,0,82463.69,0
386,France,Female,0,6.327936784,4.094344562,0,15928.49,0
387,Spain,Male,0,6.415096959,3.828641396,0.693147181,45886.33,0
388,Spain,Male,0,6.593044534,4.094344562,0.693147181,186489.95,0
389,Spain,Female,0,6.563855527,3.80666249,0.693147181,162922.65,0
390,France,Female,161525.96,6.298949247,3.218875825,0.693147181,9262.77,0
391,Germany,Female,147199.07,6.568077911,3.36729583,0,84932.4,0
392,Germany,Male,183102.29,6.622736324,3.63758616,0,71557.12,0
393,Spain,Male,127209,6.473890696,3.828641396,0.693147181,77405.95,1
394,Spain,Male,0,6.320768294,3.63758616,0.693147181,417.41,1
395,Spain,Female,97378.54,6.386879319,3.218875825,0,71405.17,0
396,Germany,Female,136925.09,6.469250317,3.610917913,0.693147181,153400.24,0
397,France,Male,54503.55,6.32256524,3.496507561,0,371.05,0
